City,Region,State,Country,Latitude,Longitude,Population,WaterPollution,AirQuality
San Luis Obispo,California,CA,United States of America,35.282,-120.659,47063.0,45.83333333,92.5
Cambridge,Massachusetts,MA,United States of America,42.376,-71.117,118403.0,21.875,91.66666667
West Hartford,Connecticut,CT,United States of America,41.771,-72.751,64083.0,6.25,91.66666667
New Haven,Connecticut,CT,United States of America,41.313,-72.931,134023.0,37.5,81.81818182
New Bedford,Massachusetts,MA,United States of America,41.635,-70.926,101079.0,75.0,25.0
Stamford,Connecticut,CT,United States of America,41.124,-73.567,135470.0,54.16666667,50.0
Bridgeport,Connecticut,CT,United States of America,41.198,-73.194,148654.0,66.66666667,79.16666667
Waterbury,Connecticut,CT,United States of America,41.554,-73.043,114403.0,0.0,80.0
Worcester,Massachusetts,MA,United States of America,42.263,-71.802,206518.0,75.0,91.66666667
Pittsfield,Massachusetts,MA,United States of America,42.448,-73.253,43927.0,100.0,89.28571429
Fall River,Massachusetts,MA,United States of America,41.702,-71.155,94000.0,50.0,100.0
Newton,Massachusetts,MA,United States of America,42.337,-71.208,88923.0,50.0,75.0
Danbury,Connecticut,CT,United States of America,41.408,-73.468,86518.0,0.0,75.0
Somerville,Massachusetts,MA,United States of America,42.388,-71.103,81045.0,12.5,100.0
Portland,Maine,ME,United States of America,43.659,-70.257,68408.0,42.85714286,82.14285714
Rochester,New York,NY,United States of America,43.156,-77.613,211328.0,47.91666667,64.70588235
Irvine,California,CA,United States of America,33.684,-117.796,307670.0,33.33333333,63.15789474
Fremont,California,CA,United States of America,37.549,-121.988,230504.0,15.0,79.16666667
Scottsdale,Arizona,AZ,United States of America,33.495,-111.926,241361.0,28.84615385,68.75
Reno,Nevada,NV,United States of America,39.529,-119.814,264165.0,28.84615385,70.93023256
Winston Salem,North Carolina,NC,United States of America,36.095,-80.244,249545.0,5.0,94.44444444
Durham,North Carolina,NC,United States of America,35.995,-78.901,283506.0,39.58333333,75.0
Norfolk,Virginia,VA,United States of America,36.848,-76.292,238005.0,75.0,100.0
Orlando,Florida,FL,United States of America,28.543,-81.378,307573.0,48.38709677,75.73529412
Greensboro,North Carolina,NC,United States of America,36.073,-79.792,299035.0,31.81818182,76.66666667
Toledo,Ohio,OH,United States of America,41.651,-83.542,270871.0,75.0,75.0
Stockton,California,CA,United States of America,37.955,-121.293,320804.0,71.875,44.23076923
Lexington,Kentucky,KY,United States of America,38.047,-84.498,322570.0,40.0,89.28571429
Corpus Christi,Texas,TX,United States of America,27.797,-97.395,317863.0,68.18181818,70.0
Riverside,California,CA,United States of America,33.983,-117.374,314998.0,53.33333333,45.83333333
Santa Ana,California,CA,United States of America,33.745,-117.868,310227.0,55.0,50.0
Aurora,Colorado,CO,United States of America,39.726,-104.847,386261.0,33.33333333,45.83333333
Anaheim,California,CA,United States of America,33.833,-117.913,346824.0,33.33333333,55.76923077
Tampa,Florida,FL,United States of America,27.949,-82.458,384959.0,45.93023256,79.78723404
Bakersfield,California,CA,United States of America,35.373,-119.019,403455.0,68.47826087,16.66666667
Colorado Springs,Colorado,CO,United States of America,38.832,-104.822,478961.0,38.39285714,79.41176471
Virginia Beach,Virginia,VA,United States of America,36.845,-75.974,459470.0,36.66666667,85.52631579
Mesa,Arizona,AZ,United States of America,33.415,-111.831,504258.0,31.25,68.75
Wichita,Kansas,KS,United States of America,37.686,-97.338,397532.0,33.82352941,86.36363636
Henderson,Nevada,NV,United States of America,36.03,-114.983,317610.0,35.0,67.85714286
Fort Wayne,Indiana,IN,United States of America,41.08,-85.14,263886.0,43.75,66.66666667
Chula Vista,California,CA,United States of America,32.64,-117.082,275487.0,75.0,37.5
Chandler,Arizona,AZ,United States of America,33.306,-111.841,275987.0,45.0,65.0
Lubbock,Texas,TX,United States of America,33.585,-101.846,257141.0,34.09090909,69.64285714
Garland,Texas,TX,United States of America,32.913,-96.639,246018.0,50.0,75.0
Garden Grove,California,CA,United States of America,33.775,-117.941,171949.0,0.0,75.0
Gilbert,Arizona,AZ,United States of America,33.354,-111.79,267918.0,0.0,75.0
Tempe,Arizona,AZ,United States of America,33.415,-111.909,180587.0,46.42857143,68.18181818
Peoria,Arizona,AZ,United States of America,33.582,-112.238,190985.0,15.0,65.0
Surprise,Arizona,AZ,United States of America,33.63,-112.377,143148.0,0.0,100.0
Plano,Texas,TX,United States of America,33.02,-96.698,285494.0,32.14285714,78.57142857
Irving,Texas,TX,United States of America,32.814,-96.946,256684.0,37.5,62.5
Amarillo,Texas,TX,United States of America,35.207,-101.836,200393.0,53.125,53.125
Brownsville,Texas,TX,United States of America,25.902,-97.498,186738.0,68.75,57.14285714
Mesquite,Texas,TX,United States of America,32.767,-96.599,150108.0,75.0,50.0
McKinney,Texas,TX,United States of America,33.197,-96.616,195308.0,18.75,87.5
McAllen,Texas,TX,United States of America,26.203,-98.231,142210.0,35.71428571,87.5
Orem,Utah,UT,United States of America,40.297,-111.695,98129.0,33.33333333,65.625
Ogden,Utah,UT,United States of America,41.221,-111.972,87321.0,0.0,80.55555556
Haverhill,Massachusetts,MA,United States of America,42.777,-71.077,67787.0,50.0,100.0
Beverly,Massachusetts,MA,United States of America,42.55,-70.883,42670.0,0.0,100.0
Medford,Massachusetts,MA,United States of America,42.418,-71.11,59659.0,0.0,100.0
Woburn,Massachusetts,MA,United States of America,42.48,-71.152,40876.0,50.0,87.5
Norwalk,Connecticut,CT,United States of America,41.13,-73.429,91184.0,30.0,75.0
East Providence,Rhode Island,RI,United States of America,41.814,-71.37,47139.0,50.0,100.0
Woonsocket,Rhode Island,RI,United States of America,42.0,-71.516,43240.0,100.0,80.0
Venice,Florida,FL,United States of America,27.1,-82.45,25463.0,16.66666667,91.66666667
Columbia,Missouri,MO,United States of America,38.952,-92.329,126254.0,25.0,96.42857143
Napa,California,CA,United States of America,38.298,-122.289,79246.0,37.5,92.85714286
Jonesboro,Arkansas,AR,United States of America,35.842,-90.705,78576.0,50.0,50.0
Marion,Arkansas,AR,United States of America,35.202,-90.204,13752.0,75.0,0.0
Cabot,Arkansas,AR,United States of America,34.973,-92.016,26569.0,25.0,75.0
Russellville,Arkansas,AR,United States of America,35.278,-93.134,28940.0,50.0,93.75
Bullhead City,Arizona,AZ,United States of America,35.148,-114.568,41348.0,50.0,100.0
Texarkana,Arkansas,AR,United States of America,33.427,-94.039,29387.0,50.0,87.5
Rogers,Arkansas,AR,United States of America,36.333,-94.116,69908.0,12.5,87.5
Dothan,Alabama,AL,United States of America,31.224,-85.392,71072.0,62.5,100.0
Fort Smith,Arkansas,AR,United States of America,35.383,-94.421,89142.0,25.0,95.0
Tuscaloosa,Alabama,AL,United States of America,33.206,-87.567,99600.0,40.0,86.11111111
Fairbanks,Alaska,AK,United States of America,64.844,-147.719,32515.0,10.0,68.18181818
Van Buren,Arkansas,AR,United States of America,35.437,-94.353,23218.0,50.0,100.0
Kingman,Arizona,AZ,United States of America,35.19,-114.053,32689.0,75.0,100.0
Florence,Alabama,AL,United States of America,34.8,-87.677,40184.0,50.0,100.0
Yuma,Arizona,AZ,United States of America,32.713,-114.625,95548.0,45.0,77.77777778
Flagstaff,Arizona,AZ,United States of America,35.198,-111.648,76831.0,18.75,100.0
Palmer,Alaska,AK,United States of America,61.597,-149.115,5888.0,0.0,95.0
Huntsville,Alabama,AL,United States of America,34.73,-86.586,215006.0,25.0,95.0
Mobile,Alabama,AL,United States of America,30.691,-88.046,187041.0,57.14285714,75.0
Maricopa,Arizona,AZ,United States of America,33.057,-112.048,58125.0,50.0,100.0
Murfreesboro,Arkansas,AR,United States of America,34.064,-93.69,1495.0,37.5,87.5
Sierra Vista,Arizona,AZ,United States of America,31.555,-110.3,45308.0,30.0,75.0
Seward,Alaska,AK,United States of America,60.125,-149.392,2717.0,0.0,100.0
Hot Springs,Arkansas,AR,United States of America,34.504,-93.055,37930.0,0.0,100.0
Prescott,Arizona,AZ,United States of America,34.542,-112.469,45827.0,25.0,96.42857143
Wasilla,Alaska,AK,United States of America,61.582,-149.441,9054.0,33.33333333,96.42857143
Kodiak,Alaska,AK,United States of America,57.792,-152.404,5581.0,25.0,100.0
Shreveport,Louisiana,LA,United States of America,32.514,-93.748,187593.0,91.66666667,78.125
Gresham,Oregon,OR,United States of America,45.498,-122.431,114247.0,0.0,100.0
Beaverton,Oregon,OR,United States of America,45.487,-122.804,97494.0,6.25,81.25
Savannah,Georgia,GA,United States of America,32.079,-81.091,147780.0,52.08333333,64.0625
Sugar Land,Texas,TX,United States of America,29.595,-95.621,111026.0,37.5,87.5
Greeley,Colorado,CO,United States of America,40.425,-104.694,108795.0,0.0,95.0
Waukesha,Wisconsin,WI,United States of America,43.012,-88.232,71158.0,50.0,87.5
Appleton,Wisconsin,WI,United States of America,44.262,-88.407,75644.0,25.0,89.28571429
Eau Claire,Wisconsin,WI,United States of America,44.811,-91.498,69421.0,33.33333333,96.42857143
Charlottesville,Virginia,VA,United States of America,38.031,-78.482,46553.0,58.33333333,100.0
Beverly Hills,California,CA,United States of America,34.073,-118.4,32701.0,0.0,100.0
Yonkers,New York,NY,United States of America,40.932,-73.899,211569.0,50.0,100.0
Niagara Falls,New York,NY,United States of America,43.089,-79.063,48671.0,50.0,100.0
Waco,Texas,TX,United States of America,31.557,-97.132,138486.0,68.75,81.25
Frisco,Texas,TX,United States of America,33.151,-96.825,200509.0,29.16666667,87.5
Beaumont,Texas,TX,United States of America,30.082,-94.098,115282.0,87.5,70.83333333
Denton,Texas,TX,United States of America,33.215,-97.132,139869.0,37.5,62.5
Midland,Texas,TX,United States of America,31.998,-102.074,132524.0,100.0,75.0
Round Rock,Texas,TX,United States of America,30.509,-97.679,119468.0,0.0,75.0
Wichita Falls,Texas,TX,United States of America,33.912,-98.492,102316.0,43.75,62.5
Odessa,Texas,TX,United States of America,31.848,-102.369,114428.0,50.0,100.0
Lafayette,Louisiana,LA,United States of America,30.223,-92.02,121374.0,0.0,92.85714286
Roy,Utah,UT,United States of America,41.162,-112.026,39306.0,50.0,100.0
Sioux Falls,South Dakota,SD,United States of America,43.547,-96.727,192517.0,32.14285714,81.81818182
Hanover,New Hampshire,NH,United States of America,43.715,-72.184,11870.0,50.0,100.0
Springfield,Missouri,MO,United States of America,37.209,-93.292,169176.0,42.30769231,84.72222222
Galveston,Texas,TX,United States of America,29.305,-94.794,53695.0,50.0,85.71428571
Abingdon,Virginia,VA,United States of America,36.709,-81.971,8376.0,50.0,100.0
Camden,New Jersey,NJ,United States of America,39.944,-75.119,71791.0,50.0,87.5
Hoboken,New Jersey,NJ,United States of America,40.742,-74.032,60419.0,62.5,56.25
Livermore,California,CA,United States of America,37.682,-121.768,87955.0,54.16666667,75.0
Atlantic City,New Jersey,NJ,United States of America,39.364,-74.423,38497.0,37.5,91.66666667
Allentown,Pennsylvania,PA,United States of America,40.602,-75.472,125845.0,75.0,60.71428571
Grants Pass,Oregon,OR,United States of America,42.44,-123.327,39189.0,75.0,62.5
Zanesville,Ohio,OH,United States of America,39.94,-82.008,24765.0,85.0,50.0
Brookhaven,Georgia,GA,United States of America,33.861,-84.33,55161.0,75.0,50.0
Santa Cruz,California,CA,United States of America,36.974,-122.026,62956.0,34.61538462,88.23529412
Santa Clara,California,CA,United States of America,37.354,-121.954,127647.0,35.0,75.0
Santa Barbara,California,CA,United States of America,34.421,-119.702,88665.0,56.25,83.82352941
Akron,Ohio,OH,United States of America,41.085,-81.517,190469.0,83.33333333,65.0
West Palm Beach,Florida,FL,United States of America,26.713,-80.052,117415.0,66.66666667,72.5
Fort Lauderdale,Florida,FL,United States of America,26.119,-80.143,182760.0,42.10526316,81.57894737
Billings,Montana,MT,United States of America,45.783,-108.507,117116.0,40.0,75.0
West Lafayette,Indiana,IN,United States of America,40.424,-86.908,44595.0,75.0,75.0
Crescent City,California,CA,United States of America,41.767,-124.199,6673.0,0.0,100.0
Kalamazoo,Michigan,MI,United States of America,42.292,-85.583,73598.0,53.57142857,88.63636364
Kalamazoo,Michigan,MI,United States of America,42.314,-85.624,22777.0,53.57142857,88.63636364
San Mateo,California,CA,United States of America,37.564,-122.324,105661.0,20.0,80.0
Yuba City,California,CA,United States of America,39.141,-121.618,70117.0,50.0,100.0
Passaic,New Jersey,NJ,United States of America,40.863,-74.127,70537.0,75.0,50.0
Eugene,Oregon,OR,United States of America,44.05,-123.093,176654.0,36.25,75.0
Wilmington,Delaware,DE,United States of America,39.738,-75.553,70898.0,87.5,66.66666667
Poughkeepsie,New York,NY,United States of America,41.704,-73.929,31577.0,12.5,91.66666667
Puyallup,Washington,WA,United States of America,47.192,-122.294,42973.0,25.0,75.0
Rancho Palos Verdes,California,CA,United States of America,33.745,-118.389,42287.0,25.0,87.5
Augusta,Georgia,GA,United States of America,33.476,-81.966,202081.0,33.33333333,71.875
Grand Rapids,Michigan,MI,United States of America,42.963,-85.668,198917.0,44.44444444,69.23076923
Grand Rapids,Michigan,MI,United States of America,43.0,-85.569,18905.0,44.44444444,69.23076923
Grapevine,Texas,TX,United States of America,32.934,-97.078,50631.0,100.0,0.0
