City,State_Abbre,Type,Population,Latitude,Longitude
Boynton Beach,FL,City,80380,26.529,-80.064
Warner Robins,GA,City,80308,32.618,-83.633
Tustin,CA,City,80276,33.746,-117.825
Milpitas,CA,City,80273,37.431,-121.907
Pleasanton,CA,City,79871,37.663,-121.875
New Rochelle,NY,City,79726,40.907,-73.784
Pharr,TX,City,79715,26.195,-98.184
Shelby,MI,Charter Township,79408,42.674,-83.04
Rancho Cordova,CA,City,79332,38.592,-121.297
Napa,CA,City,79246,38.298,-122.289
Kissimmee,FL,City,79226,28.292,-81.408
Bellflower,CA,City,79190,33.882,-118.125
Bloomington,IN,City,79168,39.167,-86.535
Upland,CA,City,79040,34.094,-117.651
Lynchburg,VA,City,79009,37.415,-79.142
Schaumburg,IL,Village,78723,42.027,-88.08
Perris,CA,City,78700,33.782,-117.229
Bloomington,IL,City,78680,40.479,-88.994
Jonesboro,AR,City,78576,35.842,-90.705
Chino Hills,CA,City,78411,33.977,-117.72
Alameda,CA,City,78280,37.764,-122.243
Frederick,MD,City,78171,39.414,-77.411
Evanston,IL,City,78110,42.041,-87.69
Hammond,IN,City,77879,41.585,-87.481
Racine,WI,City,77816,42.727,-87.783
Arlington Heights,IL,Village,77676,42.083,-87.983
Cedar Park,TX,City,77595,30.51,-97.823
South Jordan,UT,City,77487,40.562,-111.929
Pasco,WA,City,77108,46.231,-119.092
Flagstaff,AZ,City,76831,35.198,-111.648
Southfield,MI,City,76618,42.473,-83.221
Wyoming,MI,City,76501,42.914,-85.705
Pittsburg,CA,City,76416,38.025,-121.886
Loveland,CO,City,76378,40.395,-105.074
Scranton,PA,City,76328,41.409,-75.662
Rochester Hills,MI,City,76300,42.652,-83.153
Auburn,AL,City,76143,32.607,-85.482
Flower Mound,TX,Town,75956,33.014,-97.071
Lehi,UT,City,75907,40.388,-111.849
Doral,FL,City,75874,25.812,-80.353
Apple Valley,CA,Town,75791,34.501,-117.19
Bethlehem,PA,City,75781,40.622,-75.375
Appleton,WI,City,75644,44.262,-88.407
