City,Region,Country,AirQuality,WaterPollution,State_Abbre
Salt Lake City,Utah,United States of America,23.13432836,41.66666667,UT
Atlanta,Georgia,United States of America,59.6875,46.57534247,GA
Las Vegas,Nevada,United States of America,51.72413793,49.69135802,NV
Albany,New York,United States of America,87.5,31.25,NY
Harrisburg,Pennsylvania,United States of America,82.5,37.5,PA
Trenton,New Jersey,United States of America,85.0,100.0,NJ
Newark,New Jersey,United States of America,50.0,62.5,NJ
Jersey City,New Jersey,United States of America,58.33333333,60.0,NJ
Keller,Texas,United States of America,66.66666667,25.0,TX
Davenport,Iowa,United States of America,86.36363636,53.57142857,IA
Jackson,Mississippi,United States of America,85.41666667,28.57142857,MS
Augusta,Maine,United States of America,50.0,100.0,ME
Baton Rouge,Louisiana,United States of America,64.58333333,40.625,LA
Lansing,Michigan,United States of America,92.85714286,41.66666667,MI
Concord,New Hampshire,United States of America,91.66666667,15.0,NH
Lincoln,Nebraska,United States of America,86.66666667,27.5,NE
Annapolis,Maryland,United States of America,86.53846154,47.22222222,MD
Springfield,Illinois,United States of America,90.625,62.5,IL
Saint Paul,Minnesota,United States of America,88.54166667,30.0,MN
Montgomery,Alabama,United States of America,70.83333333,56.25,AL
Boca Raton,Florida,United States of America,94.23076923,34.61538462,FL
Juneau,Alaska,United States of America,100.0,25.0,AK
Burlington,Vermont,United States of America,100.0,30.0,VT
Allen,Texas,United States of America,75.0,12.5,TX
Las Cruces,New Mexico,United States of America,82.8125,33.33333333,NM
Little Rock,Arkansas,United States of America,89.28571429,22.05882353,AR
Hartford,Connecticut,United States of America,65.38461538,50.0,CT
Dover,Delaware,United States of America,100.0,50.0,DE
Fargo,North Dakota,United States of America,100.0,0.0,ND
Grand Forks,North Dakota,United States of America,87.5,37.5,ND
New Orleans,Louisiana,United States of America,65.13157895,72.85714286,LA
Dayton,Ohio,United States of America,82.8125,33.33333333,OH
Albuquerque,New Mexico,United States of America,83.33333333,39.70588235,NM
Oklahoma City,Oklahoma,United States of America,88.33333333,31.73076923,OK
Boise,Idaho,United States of America,68.93939394,32.5,ID
Minneapolis,Minnesota,United States of America,79.51388889,33.57142857,MN
Tallahassee,Florida,United States of America,92.1875,41.66666667,FL
Bismarck,North Dakota,United States of America,95.83333333,50.0,ND
Cleveland,Ohio,United States of America,66.66666667,54.54545455,OH
Milwaukee,Wisconsin,United States of America,79.06976744,43.29268293,WI
Columbia,South Carolina,United States of America,66.07142857,52.27272727,SC
Santa Fe,New Mexico,United States of America,89.28571429,38.63636364,NM
Helena,Montana,United States of America,100.0,50.0,MT
Cheyenne,Wyoming,United States of America,92.85714286,0.0,WY
Anchorage,Alaska,United States of America,90.0,18.75,AK
Des Moines,Iowa,United States of America,82.5,38.33333333,IA
Springfield,Oregon,United States of America,25.0,50.0,OR
Norman,Oklahoma,United States of America,100.0,25.0,OK
Buffalo,New York,United States of America,77.08333333,36.95652174,NY
Carson City,Nevada,United States of America,100.0,50.0,NV
Topeka,Kansas,United States of America,81.25,56.25,KS
Raleigh,North Carolina,United States of America,84.44444444,31.25,NC
Kansas City,Missouri,United States of America,76.74418605,44.51219512,MO
Olympia,Washington,United States of America,87.5,18.75,WA
Cincinnati,Ohio,United States of America,57.57575758,43.10344828,OH
Omaha,Nebraska,United States of America,78.57142857,32.35294118,NE
Fresno,California,United States of America,21.25,78.125,CA
Richmond,Virginia,United States of America,73.17073171,27.63157895,VA
Louisville,Kentucky,United States of America,56.06060606,38.79310345,KY
Madison,Wisconsin,United States of America,86.76470588,40.32258065,WI
Salem,Oregon,United States of America,87.5,17.85714286,OR
Ketchikan,Alaska,United States of America,100.0,50.0,AK
Charleston,West Virginia,United States of America,95.0,50.0,WV
Tulsa,Oklahoma,United States of America,75.0,38.63636364,OK
Santa Monica,California,United States of America,66.66666667,54.16666667,CA
Palo Alto,California,United States of America,56.25,50.0,CA
Green Bay,Wisconsin,United States of America,63.88888889,50.0,WI
Charleston,South Carolina,United States of America,75.0,57.69230769,SC
Dover,New Hampshire,United States of America,100.0,50.0,NH
Nashua,New Hampshire,United States of America,87.5,0.0,NH
Manchester,New Hampshire,United States of America,76.92307692,38.88888889,NH
