City,Region,Country,AirQuality,WaterPollution,State_Abbre
Greensburg,Pennsylvania,United States of America,87.5,50.0,PA
St. Cloud,Minnesota,United States of America,100.0,0.0,MN
Butte,North Dakota,United States of America,75.0,56.25,ND
Farmington,Connecticut,United States of America,75.0,50.0,CT
New Rochelle,New York,United States of America,50.0,25.0,NY
Pleasanton,California,United States of America,100.0,0.0,CA
Corvallis,Oregon,United States of America,75.0,50.0,OR
Lake Forest,California,United States of America,87.5,0.0,CA
Gaithersburg,Maryland,United States of America,91.66666667,12.5,MD
Easton,Maryland,United States of America,100.0,50.0,MD
Hyattsville,Maryland,United States of America,50.0,75.0,MD
Fairfield,Connecticut,United States of America,79.16666667,62.5,CT
Trumbull,Connecticut,United States of America,91.66666667,25.0,CT
Laurel,Maryland,United States of America,87.5,50.0,MD
Athens,Ohio,United States of America,100.0,0.0,OH
Hagerstown,Maryland,United States of America,87.5,50.0,MD
Salisbury,Maryland,United States of America,100.0,0.0,MD
Georgetown,Delaware,United States of America,100.0,50.0,DE
Milton,Delaware,United States of America,50.0,100.0,DE
Richmond,Kentucky,United States of America,80.26315789,47.36842105,KY
Keene,New Hampshire,United States of America,100.0,50.0,NH
Johnson City,Tennessee,United States of America,90.0,20.0,TN
Spartanburg,South Carolina,United States of America,100.0,25.0,SC
Victoria,Texas,United States of America,100.0,25.0,TX
Banning,California,United States of America,80.0,50.0,CA
Barnstable,Massachusetts,United States of America,100.0,75.0,MA
Bartlesville,Oklahoma,United States of America,75.0,75.0,OK
Baytown,Texas,United States of America,100.0,50.0,TX
Beaufort,North Carolina,United States of America,50.0,75.0,NC
Beckley,West Virginia,United States of America,100.0,50.0,WV
Belmont,California,United States of America,100.0,25.0,CA
Bentonville,Arkansas,United States of America,91.66666667,0.0,AR
York,Pennsylvania,United States of America,64.28571429,75.0,PA
Delray Beach,Florida,United States of America,100.0,0.0,FL
Newport,Oregon,United States of America,100.0,75.0,OR
Grass Valley,California,United States of America,62.5,62.5,CA
Mount Vernon,New York,United States of America,100.0,50.0,NY
Medford,Oregon,United States of America,85.71428571,25.0,OR
Ukiah,California,United States of America,100.0,50.0,CA
Dublin,California,United States of America,100.0,0.0,CA
Ojai,California,United States of America,87.5,50.0,CA
Wheeling,West Virginia,United States of America,70.0,75.0,WV
Temecula,California,United States of America,71.42857143,27.77777778,CA
Murrieta,California,United States of America,100.0,25.0,CA
Indio,California,United States of America,50.0,25.0,CA
Myrtle Beach,South Carolina,United States of America,87.5,50.0,SC
Redondo Beach,California,United States of America,100.0,37.5,CA
Kent,Washington,United States of America,100.0,0.0,WA
Texarkana,Texas,United States of America,64.28571429,75.0,TX
Kennewick,Washington,United States of America,95.0,20.0,WA
Camarillo,California,United States of America,100.0,0.0,CA
Kearney,Nebraska,United States of America,100.0,75.0,NE
Klamath Falls,Oregon,United States of America,83.33333333,62.5,OR
Roseburg,Oregon,United States of America,75.0,40.0,OR
Danville,California,United States of America,100.0,75.0,CA
North Charleston,South Carolina,United States of America,100.0,50.0,SC
Oroville,California,United States of America,100.0,0.0,CA
Madera,California,United States of America,75.0,50.0,CA
Glendora,California,United States of America,50.0,25.0,CA
Panama City,Florida,United States of America,50.0,37.5,FL
Longview,Texas,United States of America,85.0,75.0,TX
Cary,North Carolina,United States of America,50.0,62.5,NC
Hamilton,Ohio,United States of America,87.5,50.0,OH
Marietta,Georgia,United States of America,80.55555556,10.0,GA
Stillwater,Oklahoma,United States of America,93.75,50.0,OK
Kalispell,Montana,United States of America,89.28571429,0.0,MT
Livonia,Michigan,United States of America,100.0,25.0,MI
Montclair,California,United States of America,75.0,0.0,CA
Manhattan,Kansas,United States of America,100.0,0.0,KS
Yucca Valley,California,United States of America,87.5,50.0,CA
Lake Charles,Louisiana,United States of America,66.66666667,60.0,LA
Huntsville,Texas,United States of America,100.0,50.0,TX
Moss Point,Mississippi,United States of America,91.66666667,50.0,MS
Verona,Mississippi,United States of America,100.0,50.0,MS
Olive Branch,Mississippi,United States of America,100.0,0.0,MS
Harlingen,Texas,United States of America,100.0,0.0,TX
Valparaiso,Indiana,United States of America,100.0,50.0,IN
Jackson,Wyoming,United States of America,100.0,50.0,WY
Loveland,Colorado,United States of America,72.5,35.0,CO
Bloomfield Hills,Michigan,United States of America,0.0,100.0,MI
Boone,North Carolina,United States of America,75.0,50.0,NC
Bowling Green,Ohio,United States of America,100.0,16.66666667,OH
Boynton Beach,Florida,United States of America,100.0,50.0,FL
Brainerd,Minnesota,United States of America,100.0,50.0,MN
Branson,Missouri,United States of America,100.0,0.0,MO
Brattleboro,Vermont,United States of America,100.0,50.0,VT
Breckenridge,Colorado,United States of America,100.0,25.0,CO
Kokomo,Indiana,United States of America,90.0,25.0,IN
Sandpoint,Idaho,United States of America,100.0,0.0,ID
Wisconsin Dells,Wisconsin,United States of America,100.0,50.0,WI
Albert Lea,Minnesota,United States of America,100.0,25.0,MN
Corcoran,California,United States of America,50.0,50.0,CA
Bridgeton,New Jersey,United States of America,100.0,50.0,NJ
Tustin,California,United States of America,75.0,37.5,CA
Ocala,Florida,United States of America,77.5,32.5,FL
Gillette,Wyoming,United States of America,100.0,50.0,WY
San Angelo,Texas,United States of America,100.0,37.5,TX
Pinehurst,Georgia,United States of America,100.0,0.0,GA
Imperial,California,United States of America,87.5,50.0,CA
Largo,Florida,United States of America,75.0,75.0,FL
Muncie,Indiana,United States of America,87.5,50.0,IN
Elmira,New York,United States of America,100.0,25.0,NY
Laurel,Mississippi,United States of America,87.5,50.0,MS
La Crosse,Wisconsin,United States of America,100.0,50.0,WI
Franklin,Massachusetts,United States of America,87.5,12.5,MA
Elizabethtown,Kentucky,United States of America,90.0,0.0,KY
Selah,Washington,United States of America,75.0,25.0,WA
Lake Elsinore,California,United States of America,50.0,75.0,CA
Aliso Viejo,California,United States of America,100.0,75.0,CA
Melbourne,Florida,United States of America,80.0,39.28571429,FL
Muskegon,Michigan,United States of America,100.0,50.0,MI
Safety Harbor,Florida,United States of America,100.0,75.0,FL
Marshall,Missouri,United States of America,100.0,50.0,MO
Rolla,Missouri,United States of America,100.0,25.0,MO
Taos,Missouri,United States of America,100.0,75.0,MO
Libby,Montana,United States of America,100.0,25.0,MT
Crown Point,Indiana,United States of America,87.5,25.0,IN
Wenatchee,Washington,United States of America,25.0,0.0,WA
Liberty,Missouri,United States of America,62.5,50.0,MO
Chesterfield,Missouri,United States of America,87.5,37.5,MO
O'Fallon,Missouri,United States of America,0.0,100.0,MO
Youngstown,New York,United States of America,75.0,58.33333333,NY
Forsyth,Montana,United States of America,80.0,100.0,MT
Rock Hill,South Carolina,United States of America,87.5,62.5,SC
Morristown,New Jersey,United States of America,100.0,100.0,NJ
Leesburg,Georgia,United States of America,87.5,50.0,GA
Oshkosh,Nebraska,United States of America,50.0,75.0,NE
Brentwood,Missouri,United States of America,75.0,0.0,MO
Cape Canaveral,Florida,United States of America,75.0,0.0,FL
Clayton,Missouri,United States of America,87.5,50.0,MO
Vero Beach,Florida,United States of America,93.75,62.5,FL
Lawrenceville,Georgia,United States of America,100.0,0.0,GA
Weatherford,Texas,United States of America,100.0,0.0,TX
Del Rio,Texas,United States of America,100.0,25.0,TX
Warrenton,Virginia,United States of America,100.0,0.0,VA
Mansfield,Texas,United States of America,90.0,0.0,TX
Jeffersonville,Indiana,United States of America,87.5,50.0,IN
Lake Worth,Texas,United States of America,100.0,100.0,TX
Katy,Texas,United States of America,60.0,50.0,TX
McLean,Texas,United States of America,100.0,25.0,TX
Leander,Texas,United States of America,100.0,0.0,TX
San Marcos,Texas,United States of America,100.0,0.0,TX
League City,Texas,United States of America,75.0,25.0,TX
Pullman,Washington,United States of America,100.0,0.0,WA
Mansfield,Ohio,United States of America,75.0,25.0,OH
Fort Dodge,Iowa,United States of America,25.0,75.0,IA
Lakeville,Minnesota,United States of America,100.0,50.0,MN
Titusville,Florida,United States of America,100.0,25.0,FL
Lakewood,Washington,United States of America,100.0,75.0,WA
Longview,Washington,United States of America,0.0,75.0,WA
Oxford,Mississippi,United States of America,100.0,0.0,MS
Lima,Ohio,United States of America,75.0,50.0,OH
Fort Walton Beach,Florida,United States of America,100.0,50.0,FL
Paducah,Kentucky,United States of America,85.71428571,62.5,KY
Coon Rapids,Minnesota,United States of America,100.0,50.0,MN
Traverse City,Michigan,United States of America,75.0,25.0,MI
Rocklin,California,United States of America,100.0,0.0,CA
Sheboygan,Wisconsin,United States of America,100.0,0.0,WI
Marina,California,United States of America,100.0,50.0,CA
Sebring,Florida,United States of America,25.0,50.0,FL
Alexandria,Louisiana,United States of America,100.0,50.0,LA
Jackson,Tennessee,United States of America,96.875,12.5,TN
Eden Prairie,Minnesota,United States of America,91.66666667,8.333333333,MN
Clovis,New Mexico,United States of America,0.0,100.0,NM
Fond du Lac,Wisconsin,United States of America,75.0,75.0,WI
New Port Richey,Florida,United States of America,50.0,0.0,FL
Jupiter,Florida,United States of America,100.0,25.0,FL
Jacksonville,North Carolina,United States of America,100.0,0.0,NC
Lebanon,Ohio,United States of America,100.0,50.0,OH
Slidell,Louisiana,United States of America,50.0,100.0,LA
Torrington,Wyoming,United States of America,90.0,75.0,WY
Longmont,Colorado,United States of America,0.0,75.0,CO
East Orange,New Jersey,United States of America,100.0,75.0,NJ
Foster City,California,United States of America,100.0,0.0,CA
Statesboro,Georgia,United States of America,75.0,41.66666667,GA
DeLand,Florida,United States of America,81.25,25.0,FL
Grand Junction,Colorado,United States of America,85.41666667,18.75,CO
North Platte,Nebraska,United States of America,100.0,25.0,NE
Troy,Michigan,United States of America,62.5,25.0,MI
Weston,Florida,United States of America,100.0,0.0,FL
Mesquite,Nevada,United States of America,100.0,0.0,NV
Novi,Michigan,United States of America,100.0,0.0,MI
Brunswick,Georgia,United States of America,78.125,37.5,GA
Long Branch,New Jersey,United States of America,75.0,25.0,NJ
Monroe,Michigan,United States of America,100.0,25.0,MI
Dalton,Georgia,United States of America,100.0,25.0,GA
Summit,New Jersey,United States of America,37.5,62.5,NJ
Hilton Head Island,South Carolina,United States of America,100.0,25.0,SC
New Bern,North Carolina,United States of America,100.0,50.0,NC
Alpharetta,Georgia,United States of America,62.5,37.5,GA
Radcliff,Kentucky,United States of America,87.5,50.0,KY
Cumming,Georgia,United States of America,58.33333333,41.66666667,GA
Ironton,Ohio,United States of America,100.0,50.0,OH
Midland,Michigan,United States of America,95.0,33.33333333,MI
Valdosta,Georgia,United States of America,100.0,50.0,GA
Hobbs,New Mexico,United States of America,100.0,50.0,NM
Langley,Washington,United States of America,100.0,0.0,WA
Durango,Colorado,United States of America,75.0,0.0,CO
Farmington,New Mexico,United States of America,95.0,50.0,NM
Williamsport,Pennsylvania,United States of America,100.0,0.0,PA
Sheridan,Wyoming,United States of America,95.83333333,12.5,WY
Rochester,Michigan,United States of America,100.0,0.0,MI
Fairborn,Ohio,United States of America,87.5,50.0,OH
Ypsilanti,Michigan,United States of America,75.0,66.66666667,MI
Lisle,Illinois,United States of America,100.0,0.0,IL
Pottsville,Pennsylvania,United States of America,75.0,0.0,PA
Concord,North Carolina,United States of America,91.66666667,62.5,NC
Watertown,South Dakota,United States of America,95.83333333,50.0,SD
Moses Lake,Washington,United States of America,75.0,0.0,WA
Johnstown,Pennsylvania,United States of America,87.5,75.0,PA
Bloomsburg,Pennsylvania,United States of America,87.5,25.0,PA
Hazard,Kentucky,United States of America,100.0,50.0,KY
New Castle,Pennsylvania,United States of America,87.5,50.0,PA
Anderson,South Carolina,United States of America,87.5,0.0,SC
Warren,Pennsylvania,United States of America,100.0,50.0,PA
Woodland,Washington,United States of America,100.0,0.0,WA
Ashland,Massachusetts,United States of America,100.0,50.0,MA
Rocky Mount,Virginia,United States of America,50.0,75.0,VA
Herndon,Virginia,United States of America,50.0,25.0,VA
Amherst,Virginia,United States of America,100.0,50.0,VA
Christiansburg,Virginia,United States of America,75.0,100.0,VA
Watertown,New York,United States of America,62.5,37.5,NY
Spring Hill,Tennessee,United States of America,87.5,25.0,TN
Airway Heights,Washington,United States of America,100.0,0.0,WA
Yelm,Washington,United States of America,50.0,50.0,WA
Sequim,Washington,United States of America,100.0,25.0,WA
Brier,Washington,United States of America,100.0,0.0,WA
Goose Creek,South Carolina,United States of America,100.0,0.0,SC
Waterloo,Wisconsin,United States of America,100.0,50.0,WI
Neenah,Wisconsin,United States of America,50.0,0.0,WI
Hempstead,New York,United States of America,100.0,50.0,NY
Smithtown,New York,United States of America,100.0,50.0,NY
Plymouth,Michigan,United States of America,50.0,50.0,MI
Islip,New York,United States of America,75.0,25.0,NY
Woodburn,Oregon,United States of America,100.0,0.0,OR
Ponca City,Oklahoma,United States of America,100.0,50.0,OK
Portsmouth,Rhode Island,United States of America,100.0,0.0,RI
Zeeland,Michigan,United States of America,100.0,0.0,MI
Roanoke,Indiana,United States of America,95.45454545,35.71428571,IN
Weirton,West Virginia,United States of America,62.5,50.0,WV
Detroit Lakes,Minnesota,United States of America,100.0,50.0,MN
Waterford,Connecticut,United States of America,25.0,50.0,CT
Deltona,Florida,United States of America,87.5,75.0,FL
Morehead,Kentucky,United States of America,100.0,25.0,KY
Birmingham,Iowa,United States of America,71.05263158,31.66666667,IA
Waldorf,Minnesota,United States of America,100.0,75.0,MN
Leawood,Kansas,United States of America,50.0,75.0,KS
Lakeport,California,United States of America,100.0,50.0,CA
Jackson,California,United States of America,100.0,50.0,CA
Upland,Indiana,United States of America,62.5,50.0,IN
Elko,South Carolina,United States of America,100.0,25.0,SC
Cutler Bay,Florida,United States of America,100.0,25.0,FL
Greenville,North Carolina,United States of America,90.0,25.0,NC
Vadnais Heights,Minnesota,United States of America,100.0,50.0,MN
Hinesville,Georgia,United States of America,75.0,25.0,GA
Abington,Massachusetts,United States of America,100.0,50.0,MA
Williston,North Dakota,United States of America,85.0,75.0,ND
Fairmont,West Virginia,United States of America,100.0,50.0,WV
Warner Robins,Georgia,United States of America,100.0,37.5,GA
Elkhart,Indiana,United States of America,87.5,50.0,IN
Frankfort,Indiana,United States of America,50.0,75.0,IN
La Porte,Indiana,United States of America,87.5,50.0,IN
Sanford,North Carolina,United States of America,100.0,50.0,NC
Spruce Pine,North Carolina,United States of America,100.0,0.0,NC
Yanceyville,North Carolina,United States of America,87.5,50.0,NC
Mooresville,North Carolina,United States of America,100.0,25.0,NC
Hope Mills,North Carolina,United States of America,100.0,50.0,NC
Hickory,North Carolina,United States of America,100.0,50.0,NC
Bryson City,North Carolina,United States of America,87.5,50.0,NC
Buffalo,North Dakota,United States of America,100.0,50.0,ND
Beaver Dam,Kentucky,United States of America,100.0,50.0,KY
Chesterfield,South Carolina,United States of America,100.0,25.0,SC
Stone Mountain,Georgia,United States of America,0.0,100.0,GA
Astoria,Illinois,United States of America,37.5,62.5,IL
Ellsworth,Maine,United States of America,100.0,50.0,ME
Swampscott,Massachusetts,United States of America,100.0,50.0,MA
Seminole,Florida,United States of America,100.0,0.0,FL
Zephyrhills,Florida,United States of America,25.0,50.0,FL
California,Kentucky,United States of America,0.0,100.0,KY
Gettysburg,South Dakota,United States of America,75.0,75.0,SD
Beloit,Kansas,United States of America,50.0,62.5,KS
Willoughby,Ohio,United States of America,75.0,0.0,OH
Mansfield,Georgia,United States of America,0.0,50.0,GA
Ithaca,Michigan,United States of America,93.75,40.625,MI
Wayne,West Virginia,United States of America,87.5,50.0,WV
Bourne,Massachusetts,United States of America,75.0,25.0,MA
Longmeadow,Massachusetts,United States of America,75.0,25.0,MA
Owosso,Michigan,United States of America,75.0,100.0,MI
Amherst,New Hampshire,United States of America,100.0,50.0,NH
Hampton,South Carolina,United States of America,37.5,50.0,SC
Oakland,Tennessee,United States of America,100.0,0.0,TN
Arlington,Kansas,United States of America,66.66666667,16.66666667,KS
Lewisburg,Tennessee,United States of America,100.0,50.0,TN
Clarksville,Indiana,United States of America,95.0,0.0,IN
Ashburn,Georgia,United States of America,60.0,25.0,GA
Franklin,West Virginia,United States of America,100.0,0.0,WV
Decatur,Tennessee,United States of America,75.0,100.0,TN
Bridgewater,Connecticut,United States of America,87.5,50.0,CT
Cookeville,Tennessee,United States of America,100.0,50.0,TN
Peachtree City,Georgia,United States of America,50.0,50.0,GA
Syracuse,Indiana,United States of America,75.0,50.0,IN
Mandeville,Louisiana,United States of America,75.0,75.0,LA
Lynchburg,South Carolina,United States of America,100.0,0.0,SC
Holderness,New Hampshire,United States of America,100.0,50.0,NH
Long Island,Kansas,United States of America,87.5,25.0,KS
Yreka,California,United States of America,100.0,50.0,CA
Tyngsborough,Massachusetts,United States of America,100.0,50.0,MA
Huntingdon,Tennessee,United States of America,75.0,50.0,TN
Seaside,Oregon,United States of America,100.0,0.0,OR
Pooler,Georgia,United States of America,75.0,25.0,GA
Edison,Georgia,United States of America,75.0,25.0,GA
Topsham,Maine,United States of America,100.0,50.0,ME
Frederick,South Dakota,United States of America,91.66666667,33.33333333,SD
Manistee,Michigan,United States of America,100.0,50.0,MI
Allegan,Michigan,United States of America,100.0,0.0,MI
Richland,Oregon,United States of America,100.0,0.0,OR
Rumford,Maine,United States of America,100.0,50.0,ME
Pikeville,Kentucky,United States of America,100.0,50.0,KY
Douglasville,Georgia,United States of America,25.0,75.0,GA
Chesapeake,West Virginia,United States of America,100.0,37.5,WV
Brandon,Vermont,United States of America,100.0,0.0,VT
Yorkville,Tennessee,United States of America,100.0,0.0,TN
Fredericksburg,Indiana,United States of America,100.0,25.0,IN
Utica,Indiana,United States of America,93.75,37.5,IN
Manassas,Georgia,United States of America,87.5,0.0,GA
Gadsden,Tennessee,United States of America,87.5,75.0,TN
Rutherford,Tennessee,United States of America,0.0,100.0,TN
Willimantic,Maine,United States of America,100.0,50.0,ME
Middlesex,Vermont,United States of America,83.33333333,50.0,VT
Somerset,Vermont,United States of America,100.0,50.0,VT
Carlisle,New York,United States of America,100.0,50.0,NY
New Windsor,New York,United States of America,100.0,50.0,NY
Taylor,New York,United States of America,87.5,50.0,NY
New Paltz,New York,United States of America,100.0,50.0,NY
Webster,New York,United States of America,0.0,50.0,NY
Germantown,New York,United States of America,100.0,0.0,NY
Princeton,Massachusetts,United States of America,87.5,25.0,MA
Bath,New York,United States of America,100.0,50.0,NY
Dickinson,New York,United States of America,100.0,50.0,NY
Gainesville,New York,United States of America,100.0,25.0,NY
Lafayette,Wisconsin,United States of America,93.75,12.5,WI
Wausau,Wisconsin,United States of America,100.0,25.0,WI
Nantucket,Massachusetts,United States of America,100.0,50.0,MA
Arlington,Virginia,United States of America,84.61538462,19.23076923,VA
